timestamp,open,high,low,close,volume
1725863100000,1.10674,1.10676,1.1064,1.10672,619
1725863400000,1.10673,1.10678,1.1064,1.10674,575
1725863700000,1.10674,1.10687,1.1065,1.10687,518
1725864000000,1.10686,1.1071,1.1067,1.10692,527
1725864300000,1.10697,1.1071,1.10627,1.10643,543
1725864600000,1.10637,1.10642,1.106,1.10631,687
1725864900000,1.10633,1.1066,1.1062,1.10645,684
1725865200000,1.10643,1.10662,1.1054,1.10575,1043
1725865500000,1.10574,1.10605,1.1054,1.10567,898
1725865800000,1.10566,1.1061,1.1054,1.10556,907
1725866100000,1.1055,1.106,1.1053,1.10577,922
1725866400000,1.10581,1.1061,1.1057,1.10588,835
1725866700000,1.10587,1.10622,1.1057,1.10591,846
1725867000000,1.10591,1.1062,1.1056,1.10589,847
1725867300000,1.10588,1.10603,1.1055,1.10583,804
1725867600000,1.10582,1.10613,1.1057,1.10606,723
1725867900000,1.10602,1.10626,1.1058,1.10618,768
1725868200000,1.10609,1.1064,1.1059,1.10633,701
1725868500000,1.10632,1.1064,1.1058,1.10589,738
1725868800000,1.10591,1.1063,1.1057,1.10605,762
1725869100000,1.10613,1.10624,1.10569,1.10569,674
1725869400000,1.10575,1.1058,1.1053,1.1055,707
1725869700000,1.10552,1.10552,1.105,1.10508,788
1725870000000,1.10505,1.1051,1.1044,1.10466,885
1725870300000,1.10464,1.1049,1.1045,1.10482,917
1725870600000,1.10483,1.1049,1.1046,1.10486,752
1725870900000,1.10484,1.105,1.1046,1.10479,622
1725871200000,1.10478,1.105,1.1046,1.10484,612
1725871500000,1.10479,1.10512,1.1046,1.10507,742
1725871800000,1.10506,1.10511,1.1047,1.10492,714
1725872100000,1.10488,1.10512,1.1047,1.10476,821
1725872400000,1.10475,1.1051,1.1044,1.10502,724
1725872700000,1.10501,1.10519,1.1048,1.10517,714
1725873000000,1.10512,1.1054,1.105,1.10521,692
1725873300000,1.10521,1.1055,1.1051,1.10531,693
1725873600000,1.10532,1.1054,1.1049,1.10531,570
1725873900000,1.10531,1.1055,1.1051,1.10528,582
1725874200000,1.10519,1.1056,1.1051,1.10546,655
1725874500000,1.10539,1.1055,1.105,1.10519,609
1725874800000,1.10519,1.1058,1.105,1.10571,734
1725875100000,1.10571,1.106,1.10553,1.10584,622
1725875400000,1.10577,1.10583,1.1054,1.10575,530
1725875700000,1.10575,1.1059,1.1055,1.10562,660
1725876000000,1.1056,1.10567,1.1052,1.10537,639
1725876300000,1.10534,1.1054,1.1046,1.10488,718
1725876600000,1.10489,1.105,1.1046,1.10486,605
1725876900000,1.10485,1.105,1.1044,1.1046,519
1725877200000,1.1046,1.1047,1.1042,1.10445,638
1725877500000,1.10446,1.1045,1.104,1.10421,603
1725877800000,1.10424,1.1043,1.1039,1.10412,634
1725878100000,1.1042,1.1042,1.1036,1.1038,703
1725878400000,1.104,1.10402,1.1036,1.1039,644
1725878700000,1.10392,1.1042,1.1037,1.10402,629
1725879000000,1.10401,1.1042,1.1036,1.1039,562
1725879300000,1.10412,1.1043,1.1038,1.10402,725
1725879600000,1.10402,1.1043,1.1039,1.10418,555
1725879900000,1.10417,1.1045,1.104,1.10441,536
1725880200000,1.10441,1.10451,1.1042,1.10439,506
1725880500000,1.10436,1.1045,1.1041,1.10425,450
1725880800000,1.10424,1.10424,1.1038,1.10396,469
1725881100000,1.1039,1.10401,1.1036,1.1038,624
1725881400000,1.10381,1.104,1.1034,1.10388,672
1725881700000,1.1039,1.1044,1.1038,1.1042,608
1725882000000,1.10429,1.10431,1.1039,1.10422,543
1725882300000,1.10416,1.1043,1.1039,1.10421,609
1725882600000,1.10422,1.1044,1.1041,1.1042,633
1725882900000,1.10425,1.1045,1.1041,1.10449,704
1725883200000,1.10446,1.1045,1.104,1.10417,851
1725883500000,1.10417,1.1044,1.104,1.10425,698
1725883800000,1.10428,1.1044,1.1039,1.10431,709
1725884100000,1.10436,1.10441,1.104,1.10413,611
1725884400000,1.10413,1.1044,1.1039,1.10418,624
1725884700000,1.10419,1.10434,1.1039,1.10423,671
1725885000000,1.10422,1.1049,1.1041,1.10481,913
1725885300000,1.10471,1.1049,1.1045,1.10463,755
1725885600000,1.10465,1.1049,1.1044,1.10449,714
1725885900000,1.10445,1.1047,1.104,1.10416,760
1725886200000,1.10411,1.1046,1.10406,1.10439,728
1725886500000,1.1044,1.1046,1.1037,1.10396,760
1725886800000,1.10394,1.10434,1.1038,1.10424,833
1725887100000,1.10425,1.10491,1.1041,1.1049,691
1725887400000,1.10485,1.1051,1.1045,1.10498,699
1725887700000,1.1049,1.1052,1.1048,1.10489,776
1725888000000,1.10489,1.1052,1.1048,1.10506,685
1725888300000,1.10505,1.1053,1.1047,1.10495,710
1725888600000,1.10494,1.1051,1.10419,1.1043,946
1725888900000,1.10433,1.1046,1.1041,1.10429,886
1725889200000,1.10429,1.10461,1.1041,1.10445,872
1725889500000,1.1044,1.10493,1.1042,1.10473,881
1725889800000,1.1047,1.10473,1.1041,1.10457,904
1725890100000,1.10452,1.1049,1.1044,1.10469,957
1725890400000,1.10464,1.1047,1.104,1.10406,922
1725890700000,1.10405,1.10453,1.1039,1.10413,825
1725891000000,1.10413,1.10422,1.1033,1.10381,889
1725891300000,1.10381,1.1045,1.1036,1.10437,946
1725891600000,1.10438,1.10452,1.1041,1.10443,897
1725891900000,1.10435,1.1045,1.104,1.10423,867
1725892200000,1.10423,1.1043,1.1035,1.1038,878
1725892500000,1.10381,1.10394,1.1035,1.10371,800
1725892800000,1.1037,1.10371,1.1033,1.10351,756
1725893100000,1.10352,1.10394,1.1033,1.10385,895
1725893400000,1.10386,1.1043,1.10376,1.10419,1094
1725893700000,1.10421,1.1044,1.1037,1.10419,1024
1725894000000,1.10422,1.1044,1.104,1.10412,955
1725894300000,1.10412,1.10423,1.1037,1.10411,819
1725894600000,1.1041,1.10443,1.104,1.10411,844
1725894900000,1.1041,1.10432,1.1039,1.10424,816
1725895200000,1.10425,1.1045,1.104,1.10416,784
1725895500000,1.104,1.1043,1.1036,1.10363,800
1725895800000,1.10364,1.10391,1.1034,1.10373,748
1725896100000,1.10373,1.10417,1.1035,1.10406,779
1725896400000,1.10403,1.1042,1.1038,1.1041,697
1725896700000,1.10406,1.1043,1.104,1.10407,706
1725897000000,1.10408,1.10448,1.10408,1.10432,737
1725897300000,1.1043,1.10434,1.104,1.10413,783
1725897600000,1.10414,1.10462,1.104,1.10453,865
1725897900000,1.10456,1.10462,1.10416,1.10416,540
1725898200000,1.10415,1.1046,1.1039,1.1045,595
1725898500000,1.1045,1.1049,1.1044,1.10481,567
1725898800000,1.10479,1.10479,1.1043,1.1044,612
1725899100000,1.10457,1.1049,1.1044,1.1048,556
1725899400000,1.10479,1.105,1.1045,1.10484,556
1725899700000,1.10485,1.1051,1.1047,1.10497,556
1725900000000,1.10494,1.1051,1.1046,1.10486,451
1725900300000,1.10486,1.10508,1.1046,1.10476,545
1725900600000,1.1047,1.105,1.1046,1.1048,493
1725900900000,1.1047,1.105,1.1047,1.10489,596
1725901200000,1.10489,1.10503,1.1047,1.1049,522
1725901500000,1.10492,1.10524,1.1047,1.1051,505
1725901800000,1.10509,1.1054,1.1049,1.1053,523
1725902100000,1.10529,1.1054,1.105,1.10523,496
1725902400000,1.1052,1.1054,1.105,1.10514,474
1725902700000,1.10514,1.1053,1.105,1.10515,548
1725903000000,1.10516,1.1053,1.1048,1.105,574
1725903300000,1.10499,1.1052,1.1049,1.10503,481
1725903600000,1.10504,1.10511,1.1047,1.1047,515
1725903900000,1.10483,1.10491,1.1046,1.10477,420
1725904200000,1.10477,1.10481,1.1044,1.10472,479
1725904500000,1.10472,1.10473,1.1042,1.1042,646
1725904800000,1.10434,1.1045,1.1042,1.10442,677
1725905100000,1.10443,1.1045,1.1041,1.10415,524
1725905400000,1.10413,1.1043,1.104,1.10425,464
